pair_id,concept_1,concept_2,domain,blended_concept
1,Hospital,Library,Institutions,The Athenaeum of Healing
2,Train Station,Garden,Infrastructure & Nature,The Symbiotic Terminus
3,Volcano,Human Body,Natural World & Biology,The Geothermal Homunculus
4,Beehive,Corporation,Nature & Business,The Hive Conglomerate
5,River,Internet,Nature & Technology,The Data Stream
6,Painting,Symphony,Arts,Chromatic Sonata
7,Dream,Law,Abstract & Social Construct,The Somnium Codex
8,Kitchen,Laboratory,Domestic & Scientific,The Molecular Gastronomy Unit
9,Forest,Stock Market,Nature & Economics,The Arboreal Exchange
10,Ant Colony,City,Nature & Urbanism,The Formicarium Metropolis
11,Telescope,Time Machine,Scientific Instrument & Fictional Device,The Chronoscope
12,Mountain,Career,Geography & Life Path,The Vocational Ascent
13,Lock,Password,Mechanical & Digital Security,The Cryptolock
14,Ship,Spaceship,Transportation,The Aethership
15,Farm,Power Plant,Agriculture & Energy,The Agrivoltaic Grid
16,Book,DNA,Information Storage,The Bio-Codex
17,Compass,Conscience,Navigation & Morality,The Moral Gyroscope
18,Bridge,Conversation,Engineering & Social Interaction,The Dialogic Span
19,Clock,River,Time Measurement & Natural Flow,The Temporal Estuary
20,Seed,Idea,Biology & Cognition,The Conceptual Germ
21,Spider Web,Social Network,Nature & Social Structure,The Resonance Web
22,Key,Puzzle,Object & Challenge,The Enigmatic Latch
23,Lighthouse,Mentor,Navigation & Guidance,The Beacon of Praxis
24,Recipe,Algorithm,Cooking & Computer Science,The Generative Cookbook
25,Mirror,History,Object & Abstract Concept,The Reflective Chronicle
