pair_id,concept_1,concept_2,domain
1,Hospital,Library,Institutions
2,Train Station,Garden,Infrastructure & Nature
3,Volcano,Human Body,Natural World & Biology
4,Beehive,Corporation,Nature & Business
5,River,Internet,Nature & Technology
6,Painting,Symphony,Arts
7,Dream,Law,Abstract & Social Construct
8,Kitchen,Laboratory,Domestic & Scientific
9,Forest,Stock Market,Nature & Economics
10,Ant Colony,City,Nature & Urbanism
11,Telescope,Time Machine,Scientific Instrument & Fictional Device
12,Mountain,Career,Geography & Life Path
13,Lock,Password,Mechanical & Digital Security
14,Ship,Spaceship,Transportation
15,Farm,Power Plant,Agriculture & Energy
16,Book,DNA,Information Storage
17,Compass,Conscience,Navigation & Morality
18,Bridge,Conversation,Engineering & Social Interaction
19,Clock,River,Time Measurement & Natural Flow
20,Seed,Idea,Biology & Cognition
21,Spider Web,Social Network,Nature & Social Structure
22,Key,Puzzle,Object & Challenge
23,Lighthouse,Mentor,Navigation & Guidance
24,Recipe,Algorithm,Cooking & Computer Science
25,Mirror,History,Object & Abstract Concept
