pair_id,concept_1,concept_2,domain,blended_concept
1,Hospital,Library,Institutions,Healing Books
2,Train Station,Garden,Infrastructure & Nature, Green Movement
3,Volcano,Human Body,Natural World & Biology, Explosive Organism
4,Beehive,Corporation,Nature & Business, Queen Organization
5,River,Internet,Nature & Technology, Natural Interconnectivity
6,Painting,Symphony,Arts, Dancing Colors
7,Dream,Law,Abstract & Social Construct, Judicial Fantasy
8,Kitchen,Laboratory,Domestic & Scientific, Food Creation
9,Forest,Stock Market,Nature & Economics, Capitalism Jungle
10,Ant Colony,City,Nature & Urbanism, Animopolis
11,Telescope,Time Machine,Scientific Instrument & Fictional Device, Looking to the time lines
12,Mountain,Career,Geography & Life Path, Climbing the corporate ladder
13,Lock,Password,Mechanical & Digital Security, Inner soul 
14,Ship,Spaceship,Transportation, Vessels
15,Farm,Power Plant,Agriculture & Energy, Nature exploitation
16,Book,DNA,Information Storage, Encoded Knowledge
17,Compass,Conscience,Navigation & Morality, Finding the truth
18,Bridge,Conversation,Engineering & Social Interaction, Connecting ideas
19,Clock,River,Time Measurement & Natural Flow, Cycle of life
20,Seed,Idea,Biology & Cognition, Florestation of thoughts
21,Spider Web,Social Network,Nature & Social Structure, Sticky society
22,Key,Puzzle,Object & Challenge, Opening ways out
23,Lighthouse,Mentor,Navigation & Guidance, Guidance
24,Recipe,Algorithm,Cooking & Computer Science, Food Protocol
25,Mirror,History,Object & Abstract Concept, Energy echo
