pair_id,concept_1,concept_2,domain,blended_concept
1,Hospital,Library,Institutions,Healarium
2,Train Station,Garden,Infrastructure & Nature,Transit Oasis
3,Volcano,Human Body,Natural World & Biology,Geobiological Reactor
4,Beehive,Corporation,Nature & Business,Swarm Enterprise
5,River,Internet,Nature & Technology,Data Stream
6,Painting,Symphony,Arts,Visual Harmony
7,Dream,Law,Abstract & Social Construct,Subconscious Justice
8,Kitchen,Laboratory,Domestic & Scientific,Culinary Lab
9,Forest,Stock Market,Nature & Economics,Growth Exchange
10,Ant Colony,City,Nature & Urbanism,Bio-Metropolitan
11,Telescope,Time Machine,Scientific Instrument & Fictional Device,Temporal Scope
12,Mountain,Career,Geography & Life Path,Achievement Peak
13,Lock,Password,Mechanical & Digital Security,Cipher Guard
14,Ship,Spaceship,Transportation,Dimensional Vessel
15,Farm,Power Plant,Agriculture & Energy,Energy Cultivation
16,Book,DNA,Information Storage,Genetic Library
17,Compass,Conscience,Navigation & Morality,Moral Navigator
18,Bridge,Conversation,Engineering & Social Interaction,Connection Catalyst
19,Clock,River,Time Measurement & Natural Flow,Temporal Current
20,Seed,Idea,Biology & Cognition,Thought Germinator
21,Spider Web,Social Network,Nature & Social Structure,Relationship Mesh
22,Key,Puzzle,Object & Challenge,Solution Cipher
23,Lighthouse,Mentor,Navigation & Guidance,Wisdom Beacon
24,Recipe,Algorithm,Cooking & Computer Science,Process Formula
25,Mirror,History,Object & Abstract Concept,Reflection Archive
